States,Median income,Standard error
United States,51848.9836387305,183.103139427586
Alabama,42738.2038575853,2089.27953902845
Alaska,62854.7372390385,2591.71876139143
Arizona,49164.5562740589,3279.05090853086
Arkansas,39751.863161981,2015.57854596313
California,57688.2236592194,898.194280421829
Colorado,60728.9353260419,2240.04985143596
Connecticut,66480.7006552753,1965.61648860381
Delaware,50951.3655003416,1528.56279632605
District of Columbia,63434.6230819319,2369.1185140658
Florida,47313.0227713818,996.536061077773
Georgia,48129.795115059,1177.57660114535
Hawaii,59244.2287630946,1613.6318884167
Idaho,50192.7459360863,2606.50249233018
Illinois,54842.7230023544,1208.15969372724
Indiana,48690.8174288125,2026.25640253209
Iowa,54537.1648156588,1568.86032043608
Kansas,51107.0408727595,1091.87621522098
Kentucky,41920.6675141716,1300.58413414133
Louisiana,39637.3462016855,1839.49477633868
Maine,49996.6671939124,1500.35551182117
Maryland,69070.6394000991,2419.84773891731
Massachusetts,63772.1887284115,2751.77801015052
Michigan,49771.1421738631,1472.33199019252
Minnesota,61800.0043662509,1196.49345995699
Mississippi,39011.6956282676,1510.5378828992
Missouri,50399.2221392357,2364.88689859012
Montana,44937.6825594734,2013.83473979867
Nebraska,53364.4470951324,1840.19602609211
Nevada,46694.9407059288,2061.06242009228
New Hampshire,70063.0008558979,2024.57005585751
New Jersey,64721.6643109971,1799.1027899071
New Mexico,43091.0078114318,1884.92699324497
New York,51108.1608346342,1176.91545473093
North Carolina,41682.5939728957,1349.09450030172
North Dakota,54731.9201679731,1889.52672996737
Ohio,45709.1889215918,1134.78919134942
Oklahoma,46443.78772737,2299.19588554764
Oregon,54417.1892736675,1619.5432073691
Pennsylvania,53305.0635998637,1057.6529008167
Rhode Island,57345.9830331387,1620.49551266258
South Carolina,44397.7295931235,1707.60787861127
South Dakota,52292.7095880298,1693.88647243164
Tennessee,43059.5258910304,2167.78705059029
Texas,52853.997189854,1028.87059997794
Utah,61078.0748505284,2916.95246209603
Vermont,55615.7616919037,2191.01586238116
Virginia,66595.2995179893,1717.13890722273
Washington,61598.0292785396,1481.62567899349
West Virginia,42213.2849260335,2102.28570024047
Wisconsin,54554.2954630693,1573.45395595391
Wyoming,57023.8289063203,2351.96536223015
